name,desc,A_um2,d_nm,k_N_per_m,Q,f0_Hz,m_eff_kg,beta,zeta,alpha_over_V2,kappaT_300K,beta_star_T0,beta_star_300K,alpha_c_T0,alpha_c_300K,xi_pi_T0,xi_pi_300K,V_PI_0K,V_PI_300K,dV_PI_pct,above_ceiling
A,MEMS gold plate,100.0,100.0,0.5,10000.0,50000.0,5.06605918211689e-12,0.026002515448955054,5e-05,0.8854187812799998,0.03047434169710695,0.08191359934993589,0.07995171810734404,0.0950929368054482,0.09400527025140859,0.27171407920359936,0.27120403685281796,0.32771759957500407,0.3258380036195778,-0.5735413532455325,False
B,sub-100 nm NEMS,25.0,50.0,2.0,1000.0,1000000.0,5.066059182116889e-14,0.05200503089791011,0.0005,0.4427093906399999,0.015237170848553475,0.08191359934993589,0.08090969690792714,0.048670873763793275,0.04763786699872858,0.23310197428417226,0.23271781676119788,0.3315699809868068,0.3280324341850177,-1.0669080449504986,False
C,stiff NEMS,100.0,200.0,5.0,5000.0,200000.0,3.1662869888230557e-12,8.125786077798455e-05,0.0001,0.011067734765999997,0.0609486833942139,0.08191359934993589,0.07810717675219953,0.14796539319870794,0.14795796730453267,0.3330595389506089,0.3330539826319778,3.6563747809658116,3.6562830291302117,-0.0025093662738728817,False
D,intermediate-gap NEMS,50.0,75.0,1.0,2000.0,300000.0,2.8144773233982715e-13,0.027393596522355936,0.00025,0.5246926111288887,0.02285575627283021,0.08191359934993589,0.08044474009050502,0.09247901059194372,0.09162241592160823,0.26927868159877616,0.2688831539041236,0.4198257893023994,0.41787692996451825,-0.46420667513528135,False
