T_K,xi_pi,u,alpha_c,beta_c
1.0000000000e+02,2.9348370927e-01,7.0651629073e-01,1.1655286573e-01,1.4840500906e-02
1.0000000000e+02,2.9285714286e-01,7.0714285714e-01,1.1597462042e-01,1.5127337623e-02
1.0000000000e+02,2.9223057644e-01,7.0776942356e-01,1.1539377180e-01,1.5415974926e-02
1.0000000000e+02,2.9160401003e-01,7.0839598997e-01,1.1481031615e-01,1.5706419674e-02
1.0000000000e+02,2.9097744361e-01,7.0902255639e-01,1.1422424977e-01,1.5998678747e-02
1.0000000000e+02,2.9035087719e-01,7.0964912281e-01,1.1363556894e-01,1.6292759037e-02
1.0000000000e+02,2.8972431078e-01,7.1027568922e-01,1.1304426994e-01,1.6588667454e-02
1.0000000000e+02,2.8909774436e-01,7.1090225564e-01,1.1245034907e-01,1.6886410922e-02
1.0000000000e+02,2.8847117794e-01,7.1152882206e-01,1.1185380260e-01,1.7185996383e-02
1.0000000000e+02,2.8784461153e-01,7.1215538847e-01,1.1125462682e-01,1.7487430793e-02
1.0000000000e+02,2.8721804511e-01,7.1278195489e-01,1.1065281802e-01,1.7790721124e-02
1.0000000000e+02,2.8659147870e-01,7.1340852130e-01,1.1004837249e-01,1.8095874365e-02
1.0000000000e+02,2.8596491228e-01,7.1403508772e-01,1.0944128651e-01,1.8402897521e-02
1.0000000000e+02,2.8533834586e-01,7.1466165414e-01,1.0883155637e-01,1.8711797612e-02
1.0000000000e+02,2.8471177945e-01,7.1528822055e-01,1.0821917835e-01,1.9022581675e-02
1.0000000000e+02,2.8408521303e-01,7.1591478697e-01,1.0760414873e-01,1.9335256761e-02
1.0000000000e+02,2.8345864662e-01,7.1654135338e-01,1.0698646381e-01,1.9649829939e-02
1.0000000000e+02,2.8283208020e-01,7.1716791980e-01,1.0636611988e-01,1.9966308293e-02
1.0000000000e+02,2.8220551378e-01,7.1779448622e-01,1.0574311320e-01,2.0284698925e-02
1.0000000000e+02,2.8157894737e-01,7.1842105263e-01,1.0511744008e-01,2.0605008949e-02
1.0000000000e+02,2.8095238095e-01,7.1904761905e-01,1.0448909680e-01,2.0927245499e-02
1.0000000000e+02,2.8032581454e-01,7.1967418546e-01,1.0385807963e-01,2.1251415724e-02
1.0000000000e+02,2.7969924812e-01,7.2030075188e-01,1.0322438488e-01,2.1577526787e-02
1.0000000000e+02,2.7907268170e-01,7.2092731830e-01,1.0258800882e-01,2.1905585870e-02
1.0000000000e+02,2.7844611529e-01,7.2155388471e-01,1.0194894774e-01,2.2235600170e-02
1.0000000000e+02,2.7781954887e-01,7.2218045113e-01,1.0130719792e-01,2.2567576899e-02
1.0000000000e+02,2.7719298246e-01,7.2280701754e-01,1.0066275566e-01,2.2901523288e-02
1.0000000000e+02,2.7656641604e-01,7.2343358396e-01,1.0001561723e-01,2.3237446581e-02
1.0000000000e+02,2.7593984962e-01,7.2406015038e-01,9.9365778920e-02,2.3575354039e-02
1.0000000000e+02,2.7531328321e-01,7.2468671679e-01,9.8713237019e-02,2.3915252942e-02
1.0000000000e+02,2.7468671679e-01,7.2531328321e-01,9.8057987810e-02,2.4257150582e-02
1.0000000000e+02,2.7406015038e-01,7.2593984962e-01,9.7400027578e-02,2.4601054271e-02
1.0000000000e+02,2.7343358396e-01,7.2656641604e-01,9.6739352610e-02,2.4946971335e-02
1.0000000000e+02,2.7280701754e-01,7.2719298246e-01,9.6075959189e-02,2.5294909116e-02
1.0000000000e+02,2.7218045113e-01,7.2781954887e-01,9.5409843602e-02,2.5644874974e-02
1.0000000000e+02,2.7155388471e-01,7.2844611529e-01,9.4741002134e-02,2.5996876285e-02
1.0000000000e+02,2.7092731830e-01,7.2907268170e-01,9.4069431070e-02,2.6350920440e-02
1.0000000000e+02,2.7030075188e-01,7.2969924812e-01,9.3395126695e-02,2.6707014847e-02
1.0000000000e+02,2.6967418546e-01,7.3032581454e-01,9.2718085294e-02,2.7065166932e-02
1.0000000000e+02,2.6904761905e-01,7.3095238095e-01,9.2038303153e-02,2.7425384134e-02
1.0000000000e+02,2.6842105263e-01,7.3157894737e-01,9.1355776556e-02,2.7787673912e-02
1.0000000000e+02,2.6779448622e-01,7.3220551378e-01,9.0670501789e-02,2.8152043740e-02
1.0000000000e+02,2.6716791980e-01,7.3283208020e-01,8.9982475137e-02,2.8518501106e-02
1.0000000000e+02,2.6654135338e-01,7.3345864662e-01,8.9291692884e-02,2.8887053519e-02
1.0000000000e+02,2.6591478697e-01,7.3408521303e-01,8.8598151316e-02,2.9257708501e-02
1.0000000000e+02,2.6528822055e-01,7.3471177945e-01,8.7901846718e-02,2.9630473592e-02
1.0000000000e+02,2.6466165414e-01,7.3533834586e-01,8.7202775375e-02,3.0005356349e-02
1.0000000000e+02,2.6403508772e-01,7.3596491228e-01,8.6500933571e-02,3.0382364343e-02
1.0000000000e+02,2.6340852130e-01,7.3659147870e-01,8.5796317591e-02,3.0761505164e-02
1.0000000000e+02,2.6278195489e-01,7.3721804511e-01,8.5088923721e-02,3.1142786418e-02
1.0000000000e+02,2.6215538847e-01,7.3784461153e-01,8.4378748245e-02,3.1526215727e-02
1.0000000000e+02,2.6152882206e-01,7.3847117794e-01,8.3665787449e-02,3.1911800731e-02
1.0000000000e+02,2.6090225564e-01,7.3909774436e-01,8.2950037616e-02,3.2299549084e-02
1.0000000000e+02,2.6027568922e-01,7.3972431078e-01,8.2231495031e-02,3.2689468459e-02
1.0000000000e+02,2.5964912281e-01,7.4035087719e-01,8.1510155980e-02,3.3081566545e-02
1.0000000000e+02,2.5902255639e-01,7.4097744361e-01,8.0786016746e-02,3.3475851048e-02
1.0000000000e+02,2.5839598997e-01,7.4160401003e-01,8.0059073616e-02,3.3872329689e-02
1.0000000000e+02,2.5776942356e-01,7.4223057644e-01,7.9329322872e-02,3.4271010207e-02
1.0000000000e+02,2.5714285714e-01,7.4285714286e-01,7.8596760801e-02,3.4671900359e-02
1.0000000000e+02,2.5651629073e-01,7.4348370927e-01,7.7861383685e-02,3.5075007916e-02
1.0000000000e+02,2.5588972431e-01,7.4411027569e-01,7.7123187811e-02,3.5480340667e-02
1.0000000000e+02,2.5526315789e-01,7.4473684211e-01,7.6382169463e-02,3.5887906419e-02
1.0000000000e+02,2.5463659148e-01,7.4536340852e-01,7.5638324924e-02,3.6297712993e-02
1.0000000000e+02,2.5401002506e-01,7.4598997494e-01,7.4891650480e-02,3.6709768230e-02
1.0000000000e+02,2.5338345865e-01,7.4661654135e-01,7.4142142415e-02,3.7124079986e-02
1.0000000000e+02,2.5275689223e-01,7.4724310777e-01,7.3389797014e-02,3.7540656133e-02
1.0000000000e+02,2.5213032581e-01,7.4786967419e-01,7.2634610560e-02,3.7959504562e-02
1.0000000000e+02,2.5150375940e-01,7.4849624060e-01,7.1876579338e-02,3.8380633179e-02
1.0000000000e+02,2.5087719298e-01,7.4912280702e-01,7.1115699633e-02,3.8804049908e-02
1.0000000000e+02,2.5025062657e-01,7.4974937343e-01,7.0351967729e-02,3.9229762690e-02
1.0000000000e+02,2.4962406015e-01,7.5037593985e-01,6.9585379909e-02,3.9657779482e-02
1.0000000000e+02,2.4899749373e-01,7.5100250627e-01,6.8815932459e-02,4.0088108258e-02
1.0000000000e+02,2.4837092732e-01,7.5162907268e-01,6.8043621663e-02,4.0520757011e-02
1.0000000000e+02,2.4774436090e-01,7.5225563910e-01,6.7268443804e-02,4.0955733747e-02
1.0000000000e+02,2.4711779449e-01,7.5288220551e-01,6.6490395168e-02,4.1393046493e-02
1.0000000000e+02,2.4649122807e-01,7.5350877193e-01,6.5709472037e-02,4.1832703291e-02
1.0000000000e+02,2.4586466165e-01,7.5413533835e-01,6.4925670696e-02,4.2274712201e-02
1.0000000000e+02,2.4523809524e-01,7.5476190476e-01,6.4138987430e-02,4.2719081298e-02
1.0000000000e+02,2.4461152882e-01,7.5538847118e-01,6.3349418522e-02,4.3165818676e-02
1.0000000000e+02,2.4398496241e-01,7.5601503759e-01,6.2556960257e-02,4.3614932445e-02
1.0000000000e+02,2.4335839599e-01,7.5664160401e-01,6.1761608918e-02,4.4066430734e-02
1.0000000000e+02,2.4273182957e-01,7.5726817043e-01,6.0963360789e-02,4.4520321687e-02
1.0000000000e+02,2.4210526316e-01,7.5789473684e-01,6.0162212154e-02,4.4976613466e-02
1.0000000000e+02,2.4147869674e-01,7.5852130326e-01,5.9358159298e-02,4.5435314249e-02
1.0000000000e+02,2.4085213033e-01,7.5914786967e-01,5.8551198504e-02,4.5896432234e-02
1.0000000000e+02,2.4022556391e-01,7.5977443609e-01,5.7741326056e-02,4.6359975632e-02
1.0000000000e+02,2.3959899749e-01,7.6040100251e-01,5.6928538237e-02,4.6825952675e-02
1.0000000000e+02,2.3897243108e-01,7.6102756892e-01,5.6112831332e-02,4.7294371611e-02
1.0000000000e+02,2.3834586466e-01,7.6165413534e-01,5.5294201625e-02,4.7765240703e-02
1.0000000000e+02,2.3771929825e-01,7.6228070175e-01,5.4472645399e-02,4.8238568236e-02
1.0000000000e+02,2.3709273183e-01,7.6290726817e-01,5.3648158937e-02,4.8714362507e-02
1.0000000000e+02,2.3646616541e-01,7.6353383459e-01,5.2820738524e-02,4.9192631834e-02
1.0000000000e+02,2.3583959900e-01,7.6416040100e-01,5.1990380444e-02,4.9673384550e-02
1.0000000000e+02,2.3521303258e-01,7.6478696742e-01,5.1157080979e-02,5.0156629007e-02
1.0000000000e+02,2.3458646617e-01,7.6541353383e-01,5.0320836414e-02,5.0642373574e-02
1.0000000000e+02,2.3395989975e-01,7.6604010025e-01,4.9481643032e-02,5.1130626636e-02
1.0000000000e+02,2.3333333333e-01,7.6666666667e-01,4.8639497117e-02,5.1621396597e-02
1.0000000000e+02,2.3270676692e-01,7.6729323308e-01,4.7794394951e-02,5.2114691878e-02
1.0000000000e+02,2.3208020050e-01,7.6791979950e-01,4.6946332820e-02,5.2610520916e-02
1.0000000000e+02,2.3145363409e-01,7.6854636591e-01,4.6095307005e-02,5.3108892168e-02
1.0000000000e+02,2.3082706767e-01,7.6917293233e-01,4.5241313792e-02,5.3609814105e-02
1.0000000000e+02,2.3020050125e-01,7.6979949875e-01,4.4384349462e-02,5.4113295219e-02
1.0000000000e+02,2.2957393484e-01,7.7042606516e-01,4.3524410300e-02,5.4619344018e-02
1.0000000000e+02,2.2894736842e-01,7.7105263158e-01,4.2661492588e-02,5.5127969026e-02
1.0000000000e+02,2.2832080201e-01,7.7167919799e-01,4.1795592611e-02,5.5639178787e-02
1.0000000000e+02,2.2769423559e-01,7.7230576441e-01,4.0926706651e-02,5.6152981861e-02
1.0000000000e+02,2.2706766917e-01,7.7293233083e-01,4.0054830992e-02,5.6669386825e-02
1.0000000000e+02,2.2644110276e-01,7.7355889724e-01,3.9179961916e-02,5.7188402276e-02
1.0000000000e+02,2.2581453634e-01,7.7418546366e-01,3.8302095708e-02,5.7710036826e-02
1.0000000000e+02,2.2518796992e-01,7.7481203008e-01,3.7421228651e-02,5.8234299105e-02
1.0000000000e+02,2.2456140351e-01,7.7543859649e-01,3.6537357027e-02,5.8761197763e-02
1.0000000000e+02,2.2393483709e-01,7.7606516291e-01,3.5650477119e-02,5.9290741465e-02
1.0000000000e+02,2.2330827068e-01,7.7669172932e-01,3.4760585212e-02,5.9822938893e-02
1.0000000000e+02,2.2268170426e-01,7.7731829574e-01,3.3867677588e-02,6.0357798750e-02
1.0000000000e+02,2.2205513784e-01,7.7794486216e-01,3.2971750529e-02,6.0895329754e-02
1.0000000000e+02,2.2142857143e-01,7.7857142857e-01,3.2072800319e-02,6.1435540641e-02
1.0000000000e+02,2.2080200501e-01,7.7919799499e-01,3.1170823242e-02,6.1978440166e-02
1.0000000000e+02,2.2017543860e-01,7.7982456140e-01,3.0265815580e-02,6.2524037101e-02
1.0000000000e+02,2.1954887218e-01,7.8045112782e-01,2.9357773615e-02,6.3072340234e-02
1.0000000000e+02,2.1892230576e-01,7.8107769424e-01,2.8446693631e-02,6.3623358374e-02
1.0000000000e+02,2.1829573935e-01,7.8170426065e-01,2.7532571912e-02,6.4177100345e-02
1.0000000000e+02,2.1766917293e-01,7.8233082707e-01,2.6615404738e-02,6.4733574991e-02
1.0000000000e+02,2.1704260652e-01,7.8295739348e-01,2.5695188395e-02,6.5292791172e-02
1.0000000000e+02,2.1641604010e-01,7.8358395990e-01,2.4771919163e-02,6.5854757766e-02
1.0000000000e+02,2.1578947368e-01,7.8421052632e-01,2.3845593327e-02,6.6419483670e-02
1.0000000000e+02,2.1516290727e-01,7.8483709273e-01,2.2916207168e-02,6.6986977799e-02
1.0000000000e+02,2.1453634085e-01,7.8546365915e-01,2.1983756970e-02,6.7557249084e-02
1.0000000000e+02,2.1390977444e-01,7.8609022556e-01,2.1048239016e-02,6.8130306474e-02
1.0000000000e+02,2.1328320802e-01,7.8671679198e-01,2.0109649587e-02,6.8706158939e-02
1.0000000000e+02,2.1265664160e-01,7.8734335840e-01,1.9167984967e-02,6.9284815464e-02
1.0000000000e+02,2.1203007519e-01,7.8796992481e-01,1.8223241438e-02,6.9866285053e-02
1.0000000000e+02,2.1140350877e-01,7.8859649123e-01,1.7275415282e-02,7.0450576727e-02
1.0000000000e+02,2.1077694236e-01,7.8922305764e-01,1.6324502783e-02,7.1037699526e-02
1.0000000000e+02,2.1015037594e-01,7.8984962406e-01,1.5370500223e-02,7.1627662508e-02
1.0000000000e+02,2.0952380952e-01,7.9047619048e-01,1.4413403885e-02,7.2220474748e-02
1.0000000000e+02,2.0889724311e-01,7.9110275689e-01,1.3453210050e-02,7.2816145340e-02
1.0000000000e+02,2.0827067669e-01,7.9172932331e-01,1.2489915002e-02,7.3414683396e-02
1.0000000000e+02,2.0764411028e-01,7.9235588972e-01,1.1523515022e-02,7.4016098045e-02
1.0000000000e+02,2.0701754386e-01,7.9298245614e-01,1.0554006393e-02,7.4620398436e-02
1.0000000000e+02,2.0639097744e-01,7.9360902256e-01,9.5813853983e-03,7.5227593735e-02
1.0000000000e+02,2.0576441103e-01,7.9423558897e-01,8.6056483191e-03,7.5837693125e-02
1.0000000000e+02,2.0513784461e-01,7.9486215539e-01,7.6267914380e-03,7.6450705809e-02
1.0000000000e+02,2.0451127820e-01,7.9548872180e-01,6.6448110374e-03,7.7066641007e-02
1.0000000000e+02,2.0388471178e-01,7.9611528822e-01,5.6597033995e-03,7.7685507958e-02
1.0000000000e+02,2.0325814536e-01,7.9674185464e-01,4.6714648065e-03,7.8307315918e-02
1.0000000000e+02,2.0263157895e-01,7.9736842105e-01,3.6800915406e-03,7.8932074162e-02
1.0000000000e+02,2.0200501253e-01,7.9799498747e-01,2.6855798841e-03,7.9559791983e-02
1.0000000000e+02,2.0137844612e-01,7.9862155388e-01,1.6879261189e-03,8.0190478693e-02
1.0000000000e+02,2.0075187970e-01,7.9924812030e-01,6.8712652739e-04,8.0824143622e-02
3.0000000000e+02,3.3295739348e-01,6.6704260652e-01,1.4789457291e-01,1.1051776724e-04
3.0000000000e+02,3.3233082707e-01,6.6766917293e-01,1.4747004202e-01,2.9582013446e-04
3.0000000000e+02,3.3170426065e-01,6.6829573935e-01,1.4704312600e-01,4.8251015836e-04
3.0000000000e+02,3.3107769424e-01,6.6892230576e-01,1.4661382109e-01,6.7059367439e-04
3.0000000000e+02,3.3045112782e-01,6.6954887218e-01,1.4618212354e-01,8.6007653245e-04
3.0000000000e+02,3.2982456140e-01,6.7017543860e-01,1.4574802960e-01,1.0509645969e-03
3.0000000000e+02,3.2919799499e-01,6.7080200501e-01,1.4531153549e-01,1.2432637467e-03
3.0000000000e+02,3.2857142857e-01,6.7142857143e-01,1.4487263748e-01,1.4369798752e-03
3.0000000000e+02,3.2794486216e-01,6.7205513784e-01,1.4443133180e-01,1.6321188904e-03
3.0000000000e+02,3.2731829574e-01,6.7268170426e-01,1.4398761470e-01,1.8286867147e-03
3.0000000000e+02,3.2669172932e-01,6.7330827068e-01,1.4354148242e-01,2.0266892853e-03
3.0000000000e+02,3.2606516291e-01,6.7393483709e-01,1.4309293120e-01,2.2261325537e-03
3.0000000000e+02,3.2543859649e-01,6.7456140351e-01,1.4264195728e-01,2.4270224864e-03
3.0000000000e+02,3.2481203008e-01,6.7518796992e-01,1.4218855692e-01,2.6293650641e-03
3.0000000000e+02,3.2418546366e-01,6.7581453634e-01,1.4173272635e-01,2.8331662823e-03
3.0000000000e+02,3.2355889724e-01,6.7644110276e-01,1.4127446182e-01,3.0384321512e-03
3.0000000000e+02,3.2293233083e-01,6.7706766917e-01,1.4081375956e-01,3.2451686958e-03
3.0000000000e+02,3.2230576441e-01,6.7769423559e-01,1.4035061582e-01,3.4533819554e-03
3.0000000000e+02,3.2167919799e-01,6.7832080201e-01,1.3988502685e-01,3.6630779843e-03
3.0000000000e+02,3.2105263158e-01,6.7894736842e-01,1.3941698889e-01,3.8742628514e-03
3.0000000000e+02,3.2042606516e-01,6.7957393484e-01,1.3894649818e-01,4.0869426405e-03
3.0000000000e+02,3.1979949875e-01,6.8020050125e-01,1.3847355096e-01,4.3011234499e-03
3.0000000000e+02,3.1917293233e-01,6.8082706767e-01,1.3799814347e-01,4.5168113929e-03
3.0000000000e+02,3.1854636591e-01,6.8145363409e-01,1.3752027196e-01,4.7340125974e-03
3.0000000000e+02,3.1791979950e-01,6.8208020050e-01,1.3703993267e-01,4.9527332062e-03
3.0000000000e+02,3.1729323308e-01,6.8270676692e-01,1.3655712184e-01,5.1729793770e-03
3.0000000000e+02,3.1666666667e-01,6.8333333333e-01,1.3607183572e-01,5.3947572820e-03
3.0000000000e+02,3.1604010025e-01,6.8395989975e-01,1.3558407054e-01,5.6180731087e-03
3.0000000000e+02,3.1541353383e-01,6.8458646617e-01,1.3509382255e-01,5.8429330592e-03
3.0000000000e+02,3.1478696742e-01,6.8521303258e-01,1.3460108799e-01,6.0693433505e-03
3.0000000000e+02,3.1416040100e-01,6.8583959900e-01,1.3410586310e-01,6.2973102145e-03
3.0000000000e+02,3.1353383459e-01,6.8646616541e-01,1.3360814412e-01,6.5268398981e-03
3.0000000000e+02,3.1290726817e-01,6.8709273183e-01,1.3310792730e-01,6.7579386631e-03
3.0000000000e+02,3.1228070175e-01,6.8771929825e-01,1.3260520888e-01,6.9906127862e-03
3.0000000000e+02,3.1165413534e-01,6.8834586466e-01,1.3209998509e-01,7.2248685591e-03
3.0000000000e+02,3.1102756892e-01,6.8897243108e-01,1.3159225218e-01,7.4607122884e-03
3.0000000000e+02,3.1040100251e-01,6.8959899749e-01,1.3108200639e-01,7.6981502960e-03
3.0000000000e+02,3.0977443609e-01,6.9022556391e-01,1.3056924397e-01,7.9371889184e-03
3.0000000000e+02,3.0914786967e-01,6.9085213033e-01,1.3005396115e-01,8.1778345073e-03
3.0000000000e+02,3.0852130326e-01,6.9147869674e-01,1.2953615417e-01,8.4200934296e-03
3.0000000000e+02,3.0789473684e-01,6.9210526316e-01,1.2901581927e-01,8.6639720671e-03
3.0000000000e+02,3.0726817043e-01,6.9273182957e-01,1.2849295271e-01,8.9094768167e-03
3.0000000000e+02,3.0664160401e-01,6.9335839599e-01,1.2796755071e-01,9.1566140904e-03
3.0000000000e+02,3.0601503759e-01,6.9398496241e-01,1.2743960951e-01,9.4053903154e-03
3.0000000000e+02,3.0538847118e-01,6.9461152882e-01,1.2690912537e-01,9.6558119340e-03
3.0000000000e+02,3.0476190476e-01,6.9523809524e-01,1.2637609451e-01,9.9078854034e-03
3.0000000000e+02,3.0413533835e-01,6.9586466165e-01,1.2584051319e-01,1.0161617196e-02
3.0000000000e+02,3.0350877193e-01,6.9649122807e-01,1.2530237763e-01,1.0417013801e-02
3.0000000000e+02,3.0288220551e-01,6.9711779449e-01,1.2476168408e-01,1.0674081719e-02
3.0000000000e+02,3.0225563910e-01,6.9774436090e-01,1.2421842879e-01,1.0932827470e-02
3.0000000000e+02,3.0162907268e-01,6.9837092732e-01,1.2367260798e-01,1.1193257586e-02
3.0000000000e+02,3.0100250627e-01,6.9899749373e-01,1.2312421791e-01,1.1455378617e-02
3.0000000000e+02,3.0037593985e-01,6.9962406015e-01,1.2257325480e-01,1.1719197127e-02
3.0000000000e+02,2.9974937343e-01,7.0025062657e-01,1.2201971491e-01,1.1984719693e-02
3.0000000000e+02,2.9912280702e-01,7.0087719298e-01,1.2146359447e-01,1.2251952912e-02
3.0000000000e+02,2.9849624060e-01,7.0150375940e-01,1.2090488972e-01,1.2520903393e-02
3.0000000000e+02,2.9786967419e-01,7.0213032581e-01,1.2034359689e-01,1.2791577760e-02
3.0000000000e+02,2.9724310777e-01,7.0275689223e-01,1.1977971224e-01,1.3063982655e-02
3.0000000000e+02,2.9661654135e-01,7.0338345865e-01,1.1921323200e-01,1.3338124732e-02
3.0000000000e+02,2.9598997494e-01,7.0401002506e-01,1.1864415240e-01,1.3614010665e-02
3.0000000000e+02,2.9536340852e-01,7.0463659148e-01,1.1807246970e-01,1.3891647138e-02
3.0000000000e+02,2.9473684211e-01,7.0526315789e-01,1.1749818012e-01,1.4171040854e-02
3.0000000000e+02,2.9411027569e-01,7.0588972431e-01,1.1692127990e-01,1.4452198530e-02
3.0000000000e+02,2.9348370927e-01,7.0651629073e-01,1.1634176530e-01,1.4735126900e-02
3.0000000000e+02,2.9285714286e-01,7.0714285714e-01,1.1575963253e-01,1.5019832712e-02
3.0000000000e+02,2.9223057644e-01,7.0776942356e-01,1.1517487786e-01,1.5306322729e-02
3.0000000000e+02,2.9160401003e-01,7.0839598997e-01,1.1458749750e-01,1.5594603730e-02
3.0000000000e+02,2.9097744361e-01,7.0902255639e-01,1.1399748771e-01,1.5884682511e-02
3.0000000000e+02,2.9035087719e-01,7.0964912281e-01,1.1340484471e-01,1.6176565882e-02
3.0000000000e+02,2.8972431078e-01,7.1027568922e-01,1.1280956475e-01,1.6470260669e-02
3.0000000000e+02,2.8909774436e-01,7.1090225564e-01,1.1221164408e-01,1.6765773713e-02
3.0000000000e+02,2.8847117794e-01,7.1152882206e-01,1.1161107891e-01,1.7063111871e-02
3.0000000000e+02,2.8784461153e-01,7.1215538847e-01,1.1100786551e-01,1.7362282017e-02
3.0000000000e+02,2.8721804511e-01,7.1278195489e-01,1.1040200009e-01,1.7663291037e-02
3.0000000000e+02,2.8659147870e-01,7.1340852130e-01,1.0979347891e-01,1.7966145836e-02
3.0000000000e+02,2.8596491228e-01,7.1403508772e-01,1.0918229819e-01,1.8270853334e-02
3.0000000000e+02,2.8533834586e-01,7.1466165414e-01,1.0856845418e-01,1.8577420465e-02
3.0000000000e+02,2.8471177945e-01,7.1528822055e-01,1.0795194312e-01,1.8885854180e-02
3.0000000000e+02,2.8408521303e-01,7.1591478697e-01,1.0733276124e-01,1.9196161447e-02
3.0000000000e+02,2.8345864662e-01,7.1654135338e-01,1.0671090478e-01,1.9508349246e-02
3.0000000000e+02,2.8283208020e-01,7.1716791980e-01,1.0608636998e-01,1.9822424577e-02
3.0000000000e+02,2.8220551378e-01,7.1779448622e-01,1.0545915307e-01,2.0138394452e-02
3.0000000000e+02,2.8157894737e-01,7.1842105263e-01,1.0482925030e-01,2.0456265902e-02
3.0000000000e+02,2.8095238095e-01,7.1904761905e-01,1.0419665790e-01,2.0776045971e-02
3.0000000000e+02,2.8032581454e-01,7.1967418546e-01,1.0356137211e-01,2.1097741720e-02
3.0000000000e+02,2.7969924812e-01,7.2030075188e-01,1.0292338917e-01,2.1421360227e-02
3.0000000000e+02,2.7907268170e-01,7.2092731830e-01,1.0228270531e-01,2.1746908583e-02
3.0000000000e+02,2.7844611529e-01,7.2155388471e-01,1.0163931676e-01,2.2074393897e-02
3.0000000000e+02,2.7781954887e-01,7.2218045113e-01,1.0099321978e-01,2.2403823295e-02
3.0000000000e+02,2.7719298246e-01,7.2280701754e-01,1.0034441059e-01,2.2735203915e-02
3.0000000000e+02,2.7656641604e-01,7.2343358396e-01,9.9692885438e-02,2.3068542914e-02
3.0000000000e+02,2.7593984962e-01,7.2406015038e-01,9.9038640551e-02,2.3403847463e-02
3.0000000000e+02,2.7531328321e-01,7.2468671679e-01,9.8381672169e-02,2.3741124752e-02
3.0000000000e+02,2.7468671679e-01,7.2531328321e-01,9.7721976529e-02,2.4080381983e-02
3.0000000000e+02,2.7406015038e-01,7.2593984962e-01,9.7059549868e-02,2.4421626377e-02
3.0000000000e+02,2.7343358396e-01,7.2656641604e-01,9.6394388422e-02,2.4764865169e-02
3.0000000000e+02,2.7280701754e-01,7.2719298246e-01,9.5726488428e-02,2.5110105611e-02
3.0000000000e+02,2.7218045113e-01,7.2781954887e-01,9.5055846122e-02,2.5457354970e-02
3.0000000000e+02,2.7155388471e-01,7.2844611529e-01,9.4382457740e-02,2.5806620531e-02
3.0000000000e+02,2.7092731830e-01,7.2907268170e-01,9.3706319519e-02,2.6157909593e-02
3.0000000000e+02,2.7030075188e-01,7.2969924812e-01,9.3027427695e-02,2.6511229473e-02
3.0000000000e+02,2.6967418546e-01,7.3032581454e-01,9.2345778504e-02,2.6866587502e-02
3.0000000000e+02,2.6904761905e-01,7.3095238095e-01,9.1661368182e-02,2.7223991027e-02
3.0000000000e+02,2.6842105263e-01,7.3157894737e-01,9.0974192964e-02,2.7583447414e-02
3.0000000000e+02,2.6779448622e-01,7.3220551378e-01,9.0284249087e-02,2.7944964043e-02
3.0000000000e+02,2.6716791980e-01,7.3283208020e-01,8.9591532786e-02,2.8308548309e-02
3.0000000000e+02,2.6654135338e-01,7.3345864662e-01,8.8896040298e-02,2.8674207626e-02
3.0000000000e+02,2.6591478697e-01,7.3408521303e-01,8.8197767856e-02,2.9041949422e-02
3.0000000000e+02,2.6528822055e-01,7.3471177945e-01,8.7496711698e-02,2.9411781142e-02
3.0000000000e+02,2.6466165414e-01,7.3533834586e-01,8.6792868058e-02,2.9783710247e-02
3.0000000000e+02,2.6403508772e-01,7.3596491228e-01,8.6086233172e-02,3.0157744214e-02
3.0000000000e+02,2.6340852130e-01,7.3659147870e-01,8.5376803276e-02,3.0533890537e-02
3.0000000000e+02,2.6278195489e-01,7.3721804511e-01,8.4664574603e-02,3.0912156726e-02
3.0000000000e+02,2.6215538847e-01,7.3784461153e-01,8.3949543390e-02,3.1292550307e-02
3.0000000000e+02,2.6152882206e-01,7.3847117794e-01,8.3231705870e-02,3.1675078821e-02
3.0000000000e+02,2.6090225564e-01,7.3909774436e-01,8.2511058281e-02,3.2059749829e-02
3.0000000000e+02,2.6027568922e-01,7.3972431078e-01,8.1787596855e-02,3.2446570904e-02
3.0000000000e+02,2.5964912281e-01,7.4035087719e-01,8.1061317828e-02,3.2835549637e-02
3.0000000000e+02,2.5902255639e-01,7.4097744361e-01,8.0332217435e-02,3.3226693638e-02
3.0000000000e+02,2.5839598997e-01,7.4160401003e-01,7.9600291910e-02,3.3620010528e-02
3.0000000000e+02,2.5776942356e-01,7.4223057644e-01,7.8865537487e-02,3.4015507950e-02
3.0000000000e+02,2.5714285714e-01,7.4285714286e-01,7.8127950402e-02,3.4413193559e-02
3.0000000000e+02,2.5651629073e-01,7.4348370927e-01,7.7387526888e-02,3.4813075029e-02
3.0000000000e+02,2.5588972431e-01,7.4411027569e-01,7.6644263180e-02,3.5215160050e-02
3.0000000000e+02,2.5526315789e-01,7.4473684211e-01,7.5898155512e-02,3.5619456327e-02
3.0000000000e+02,2.5463659148e-01,7.4536340852e-01,7.5149200118e-02,3.6025971583e-02
3.0000000000e+02,2.5401002506e-01,7.4598997494e-01,7.4397393233e-02,3.6434713557e-02
3.0000000000e+02,2.5338345865e-01,7.4661654135e-01,7.3642731089e-02,3.6845690004e-02
3.0000000000e+02,2.5275689223e-01,7.4724310777e-01,7.2885209921e-02,3.7258908697e-02
3.0000000000e+02,2.5213032581e-01,7.4786967419e-01,7.2124825963e-02,3.7674377424e-02
