T_K,xi_pi,u,alpha_c,beta_c
0.0000000000e+00,2.9348370927e-01,7.0651629073e-01,1.1665955223e-01,1.4893755101e-02
0.0000000000e+00,2.9285714286e-01,7.0714285714e-01,1.1608327259e-01,1.5181669254e-02
0.0000000000e+00,2.9223057644e-01,7.0776942356e-01,1.1550439909e-01,1.5471392291e-02
0.0000000000e+00,2.9160401003e-01,7.0839598997e-01,1.1492292803e-01,1.5762931114e-02
0.0000000000e+00,2.9097744361e-01,7.0902255639e-01,1.1433885572e-01,1.6056292644e-02
0.0000000000e+00,2.9035087719e-01,7.0964912281e-01,1.1375217847e-01,1.6351483816e-02
0.0000000000e+00,2.8972431078e-01,7.1027568922e-01,1.1316289260e-01,1.6648511581e-02
0.0000000000e+00,2.8909774436e-01,7.1090225564e-01,1.1257099440e-01,1.6947382907e-02
0.0000000000e+00,2.8847117794e-01,7.1152882206e-01,1.1197648021e-01,1.7248104776e-02
0.0000000000e+00,2.8784461153e-01,7.1215538847e-01,1.1137934631e-01,1.7550684190e-02
0.0000000000e+00,2.8721804511e-01,7.1278195489e-01,1.1077958903e-01,1.7855128162e-02
0.0000000000e+00,2.8659147870e-01,7.1340852130e-01,1.1017720468e-01,1.8161443726e-02
0.0000000000e+00,2.8596491228e-01,7.1403508772e-01,1.0957218955e-01,1.8469637927e-02
0.0000000000e+00,2.8533834586e-01,7.1466165414e-01,1.0896453998e-01,1.8779717831e-02
0.0000000000e+00,2.8471177945e-01,7.1528822055e-01,1.0835425226e-01,1.9091690516e-02
0.0000000000e+00,2.8408521303e-01,7.1591478697e-01,1.0774132270e-01,1.9405563080e-02
0.0000000000e+00,2.8345864662e-01,7.1654135338e-01,1.0712574762e-01,1.9721342633e-02
0.0000000000e+00,2.8283208020e-01,7.1716791980e-01,1.0650752332e-01,2.0039036304e-02
0.0000000000e+00,2.8220551378e-01,7.1779448622e-01,1.0588664613e-01,2.0358651239e-02
0.0000000000e+00,2.8157894737e-01,7.1842105263e-01,1.0526311233e-01,2.0680194596e-02
0.0000000000e+00,2.8095238095e-01,7.1904761905e-01,1.0463691826e-01,2.1003673554e-02
0.0000000000e+00,2.8032581454e-01,7.1967418546e-01,1.0400806021e-01,2.1329095305e-02
0.0000000000e+00,2.7969924812e-01,7.2030075188e-01,1.0337653450e-01,2.1656467059e-02
0.0000000000e+00,2.7907268170e-01,7.2092731830e-01,1.0274233744e-01,2.1985796041e-02
0.0000000000e+00,2.7844611529e-01,7.2155388471e-01,1.0210546533e-01,2.2317089493e-02
0.0000000000e+00,2.7781954887e-01,7.2218045113e-01,1.0146591450e-01,2.2650354673e-02
0.0000000000e+00,2.7719298246e-01,7.2280701754e-01,1.0082368124e-01,2.2985598856e-02
0.0000000000e+00,2.7656641604e-01,7.2343358396e-01,1.0017876187e-01,2.3322829333e-02
0.0000000000e+00,2.7593984962e-01,7.2406015038e-01,9.9531152702e-02,2.3662053411e-02
0.0000000000e+00,2.7531328321e-01,7.2468671679e-01,9.8880850042e-02,2.4003278414e-02
0.0000000000e+00,2.7468671679e-01,7.2531328321e-01,9.8227850202e-02,2.4346511681e-02
0.0000000000e+00,2.7406015038e-01,7.2593984962e-01,9.7572149491e-02,2.4691760568e-02
0.0000000000e+00,2.7343358396e-01,7.2656641604e-01,9.6913744221e-02,2.5039032449e-02
0.0000000000e+00,2.7280701754e-01,7.2719298246e-01,9.6252630701e-02,2.5388334714e-02
0.0000000000e+00,2.7218045113e-01,7.2781954887e-01,9.5588805243e-02,2.5739674766e-02
0.0000000000e+00,2.7155388471e-01,7.2844611529e-01,9.4922264155e-02,2.6093060030e-02
0.0000000000e+00,2.7092731830e-01,7.2907268170e-01,9.4253003749e-02,2.6448497942e-02
0.0000000000e+00,2.7030075188e-01,7.2969924812e-01,9.3581020335e-02,2.6805995959e-02
0.0000000000e+00,2.6967418546e-01,7.3032581454e-01,9.2906310223e-02,2.7165561553e-02
0.0000000000e+00,2.6904761905e-01,7.3095238095e-01,9.2228869722e-02,2.7527202211e-02
0.0000000000e+00,2.6842105263e-01,7.3157894737e-01,9.1548695145e-02,2.7890925438e-02
0.0000000000e+00,2.6779448622e-01,7.3220551378e-01,9.0865782801e-02,2.8256738755e-02
0.0000000000e+00,2.6716791980e-01,7.3283208020e-01,9.0180128999e-02,2.8624649701e-02
0.0000000000e+00,2.6654135338e-01,7.3345864662e-01,8.9491730051e-02,2.8994665831e-02
0.0000000000e+00,2.6591478697e-01,7.3408521303e-01,8.8800582267e-02,2.9366794715e-02
0.0000000000e+00,2.6528822055e-01,7.3471177945e-01,8.8106681957e-02,2.9741043941e-02
0.0000000000e+00,2.6466165414e-01,7.3533834586e-01,8.7410025431e-02,3.0117421114e-02
0.0000000000e+00,2.6403508772e-01,7.3596491228e-01,8.6710609000e-02,3.0495933855e-02
0.0000000000e+00,2.6340852130e-01,7.3659147870e-01,8.6008428973e-02,3.0876589801e-02
0.0000000000e+00,2.6278195489e-01,7.3721804511e-01,8.5303481662e-02,3.1259396609e-02
0.0000000000e+00,2.6215538847e-01,7.3784461153e-01,8.4595763377e-02,3.1644361948e-02
0.0000000000e+00,2.6152882206e-01,7.3847117794e-01,8.3885270427e-02,3.2031493508e-02
0.0000000000e+00,2.6090225564e-01,7.3909774436e-01,8.3171999123e-02,3.2420798992e-02
0.0000000000e+00,2.6027568922e-01,7.3972431078e-01,8.2455945775e-02,3.2812286123e-02
0.0000000000e+00,2.5964912281e-01,7.4035087719e-01,8.1737106694e-02,3.3205962640e-02
0.0000000000e+00,2.5902255639e-01,7.4097744361e-01,8.1015478190e-02,3.3601836296e-02
0.0000000000e+00,2.5839598997e-01,7.4160401003e-01,8.0291056573e-02,3.3999914866e-02
0.0000000000e+00,2.5776942356e-01,7.4223057644e-01,7.9563838154e-02,3.4400206137e-02
0.0000000000e+00,2.5714285714e-01,7.4285714286e-01,7.8833819242e-02,3.4802717915e-02
0.0000000000e+00,2.5651629073e-01,7.4348370927e-01,7.8100996148e-02,3.5207458024e-02
0.0000000000e+00,2.5588972431e-01,7.4411027569e-01,7.7365365183e-02,3.5614434303e-02
