u,xi_pi,alpha_c,beta_c,physical
7.134502923977e-01,2.865497076023e-01,1.101369522206e-01,1.818193148108e-02,1.000000000000e+00
7.137844611529e-01,2.862155388471e-01,1.098145115302e-01,1.834613435817e-02,1.000000000000e+00
7.141186299081e-01,2.858813700919e-01,1.094913219035e-01,1.851087280821e-02,1.000000000000e+00
7.144527986633e-01,2.855472013367e-01,1.091673827808e-01,1.867614790369e-02,1.000000000000e+00
7.147869674185e-01,2.852130325815e-01,1.088426936022e-01,1.884196071841e-02,1.000000000000e+00
7.151211361738e-01,2.848788638262e-01,1.085172538080e-01,1.900831232745e-02,1.000000000000e+00
7.154553049290e-01,2.845446950710e-01,1.081910628386e-01,1.917520380724e-02,1.000000000000e+00
7.157894736842e-01,2.842105263158e-01,1.078641201341e-01,1.934263623547e-02,1.000000000000e+00
7.161236424394e-01,2.838763575606e-01,1.075364251349e-01,1.951061069115e-02,1.000000000000e+00
7.164578111947e-01,2.835421888053e-01,1.072079772811e-01,1.967912825462e-02,1.000000000000e+00
7.167919799499e-01,2.832080200501e-01,1.068787760130e-01,1.984819000750e-02,1.000000000000e+00
7.171261487051e-01,2.828738512949e-01,1.065488207710e-01,2.001779703273e-02,1.000000000000e+00
7.174603174603e-01,2.825396825397e-01,1.062181109951e-01,2.018795041456e-02,1.000000000000e+00
7.177944862155e-01,2.822055137845e-01,1.058866461258e-01,2.035865123855e-02,1.000000000000e+00
7.181286549708e-01,2.818713450292e-01,1.055544256032e-01,2.052990059157e-02,1.000000000000e+00
7.184628237260e-01,2.815371762740e-01,1.052214488677e-01,2.070169956180e-02,1.000000000000e+00
7.187969924812e-01,2.812030075188e-01,1.048877153594e-01,2.087404923874e-02,1.000000000000e+00
7.191311612364e-01,2.808688387636e-01,1.045532245186e-01,2.104695071320e-02,1.000000000000e+00
7.194653299916e-01,2.805346700084e-01,1.042179757857e-01,2.122040507729e-02,1.000000000000e+00
7.197994987469e-01,2.802005012531e-01,1.038819686008e-01,2.139441342446e-02,1.000000000000e+00
7.201336675021e-01,2.798663324979e-01,1.035452024041e-01,2.156897684946e-02,1.000000000000e+00
7.204678362573e-01,2.795321637427e-01,1.032076766360e-01,2.174409644835e-02,1.000000000000e+00
7.208020050125e-01,2.791979949875e-01,1.028693907368e-01,2.191977331854e-02,1.000000000000e+00
7.211361737678e-01,2.788638262322e-01,1.025303441466e-01,2.209600855871e-02,1.000000000000e+00
7.214703425230e-01,2.785296574770e-01,1.021905363057e-01,2.227280326889e-02,1.000000000000e+00
7.218045112782e-01,2.781954887218e-01,1.018499666544e-01,2.245015855043e-02,1.000000000000e+00
7.221386800334e-01,2.778613199666e-01,1.015086346330e-01,2.262807550598e-02,1.000000000000e+00
7.224728487886e-01,2.775271512114e-01,1.011665396816e-01,2.280655523953e-02,1.000000000000e+00
7.228070175439e-01,2.771929824561e-01,1.008236812407e-01,2.298559885639e-02,1.000000000000e+00
7.231411862991e-01,2.768588137009e-01,1.004800587503e-01,2.316520746319e-02,1.000000000000e+00
7.234753550543e-01,2.765246449457e-01,1.001356716507e-01,2.334538216786e-02,1.000000000000e+00
7.238095238095e-01,2.761904761905e-01,9.979051938236e-02,2.352612407969e-02,1.000000000000e+00
7.241436925647e-01,2.758563074353e-01,9.944460138534e-02,2.370743430928e-02,1.000000000000e+00
7.244778613200e-01,2.755221386800e-01,9.909791709997e-02,2.388931396855e-02,1.000000000000e+00
7.248120300752e-01,2.751879699248e-01,9.875046596649e-02,2.407176417075e-02,1.000000000000e+00
7.251461988304e-01,2.748538011696e-01,9.840224742516e-02,2.425478603047e-02,1.000000000000e+00
7.254803675856e-01,2.745196324144e-01,9.805326091624e-02,2.443838066359e-02,1.000000000000e+00
7.258145363409e-01,2.741854636591e-01,9.770350587998e-02,2.462254918736e-02,1.000000000000e+00
7.261487050961e-01,2.738512949039e-01,9.735298175665e-02,2.480729272034e-02,1.000000000000e+00
7.264828738513e-01,2.735171261487e-01,9.700168798649e-02,2.499261238242e-02,1.000000000000e+00
7.268170426065e-01,2.731829573935e-01,9.664962400977e-02,2.517850929483e-02,1.000000000000e+00
7.271512113617e-01,2.728487886383e-01,9.629678926675e-02,2.536498458012e-02,1.000000000000e+00
7.274853801170e-01,2.725146198830e-01,9.594318319767e-02,2.555203936217e-02,1.000000000000e+00
7.278195488722e-01,2.721804511278e-01,9.558880524280e-02,2.573967476621e-02,1.000000000000e+00
7.281537176274e-01,2.718462823726e-01,9.523365484239e-02,2.592789191878e-02,1.000000000000e+00
7.284878863826e-01,2.715121136174e-01,9.487773143670e-02,2.611669194778e-02,1.000000000000e+00
7.288220551378e-01,2.711779448622e-01,9.452103446599e-02,2.630607598243e-02,1.000000000000e+00
7.291562238931e-01,2.708437761069e-01,9.416356337051e-02,2.649604515329e-02,1.000000000000e+00
7.294903926483e-01,2.705096073517e-01,9.380531759052e-02,2.668660059224e-02,1.000000000000e+00
7.298245614035e-01,2.701754385965e-01,9.344629656628e-02,2.687774343253e-02,1.000000000000e+00
7.301587301587e-01,2.698412698413e-01,9.308649973805e-02,2.706947480873e-02,1.000000000000e+00
7.304928989140e-01,2.695071010860e-01,9.272592654607e-02,2.726179585674e-02,1.000000000000e+00
7.308270676692e-01,2.691729323308e-01,9.236457643062e-02,2.745470771380e-02,1.000000000000e+00
7.311612364244e-01,2.688387635756e-01,9.200244883194e-02,2.764821151853e-02,1.000000000000e+00
7.314954051796e-01,2.685045948204e-01,9.163954319029e-02,2.784230841083e-02,1.000000000000e+00
7.318295739348e-01,2.681704260652e-01,9.127585894592e-02,2.803699953199e-02,1.000000000000e+00
